Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
200427,2020,02-05-2021,Norwich,287-291 MAIN ST,587600,939000,0.6257,Commercial,
200522,2020,03-04-2021,Norwich,49 WHITE PLAINS RD,174400,335000,0.5205,Residential,Single Family
10110,2001,03/27/2002,Thompson,THOMPSON RD,34300,5000,6.86,,
200656,2020,04/30/2021,Norwich,112-116 MAIN ST,262300,352000,0.7451,Commercial,
10405,2001,07/25/2002,Stonington,24 W VINE ST,85440,19000,4.496842105,,
220940,2022,04-06-2023,Waterbury,22 LISA COURT UNIT 5,32448,70000,0.4635,Residential,Condo
11407,2001,05-07-2002,Stamford,27 NORTHILL ST,79730,210000,0.379666667,,
21075,2021,11/15/2021,Southbury,887 SOUTHFORD RD,251170,462500,0.543,Residential,Single Family
10558,2001,07-09-2002,Newington,110 DAY ST,74970,265000,0.28290566,,
220822,2022,08-07-2023,New Haven,124 COURT ST #11,123410,235000,0.5251,Residential,Condo
221296,2022,06/22/2023,Waterbury,61 OAK ST,76983,410000,0.1877,Residential,Two Family
213533,2021,07-01-2022,Southbury,76 FAWN RIDGE CT,307910,712000,0.4324,Residential,Single Family
20249,2020,09/30/2021,Orange,387 TIMBERLANE DR,297700,550000,0.5412,Residential,Single Family
20135,2020,01/21/2021,Plainfield,30-32 GREENE AVE,98580,200000,0.4929,Residential,Two Family
11877,2001,09/13/2002,Norwalk,6 COBBLERS LN,131250,331500,0.395927602,,
20293,2020,06-07-2021,Plainfield,404 PLAINFIELD PIKE RD,193560,360000,0.5376,Residential,Single Family
10320,2001,05-07-2002,Vernon,213 12 REGAN RD,28560,50000,0.5712,,
220127,2022,02-06-2023,Avon,101 WILD WOOD DRIVE,482560,800000,0.6032,Residential,Single Family
20492,2020,08/19/2021,Plainfield,22 FERNWOOD ST,142910,310000,0.461,Residential,Single Family
10207,2001,04/18/2002,Monroe,40 AUTUMN DR,168840,350000,0.4824,,
200377,2020,08/16/2021,Plainville,492 EAST ST B-36,41090,89900,0.457,Residential,Condo
10305,2001,06/17/2002,Watertown,CAROLA DR,57690,90000,0.641,,
11198,2001,08-01-2002,West Hartford,42 PINE BRK LN,190210,379900,0.500684391,,
